id,configuration_id,period_number,start_time,end_time,type,label,day_of_week,fortnight_week,created_at,updated_at
65decc89-1a7e-414e-8370-6b3365eb1923,560e5aa7-4633-418d-a3a4-26d7a15f24cd,6,11:45:00,12:30:00,period,Period 6,monday,1,2025-06-03 15:54:37.277616+00,2025-06-03 15:54:37.277616+00
6afb4cdd-27d0-42f1-9009-06cb190d518f,560e5aa7-4633-418d-a3a4-26d7a15f24cd,6,11:45:00,12:30:00,period,Period 6,tuesday,1,2025-06-03 15:54:37.277616+00,2025-06-03 15:54:37.277616+00
731a2ad1-107b-49de-835d-4a33d84126c9,560e5aa7-4633-418d-a3a4-26d7a15f24cd,5,11:00:00,11:45:00,period,Period 5,wednesday,,2025-06-03 15:54:37.277616+00,2025-06-03 15:54:37.277616+00
7721afce-b643-41ea-8069-f605f63e4218,560e5aa7-4633-418d-a3a4-26d7a15f24cd,2,08:45:00,09:30:00,period,Period 2,tuesday,1,2025-06-03 15:54:37.277616+00,2025-06-03 15:54:37.277616+00
79ac31ba-fb2c-4f8d-859b-312617e70962,560e5aa7-4633-418d-a3a4-26d7a15f24cd,6,11:45:00,12:30:00,period,Period 6,tuesday,,2025-06-03 15:54:37.277616+00,2025-06-03 15:54:37.277616+00
7abe8a6c-d21e-4ef5-9413-462a5d89309c,560e5aa7-4633-418d-a3a4-26d7a15f24cd,1,08:00:00,08:45:00,period,Period 1,sunday,2,2025-06-03 15:54:37.277616+00,2025-06-03 15:54:37.277616+00
7bb24350-d5f3-4d3b-b307-5749bf816e53,560e5aa7-4633-418d-a3a4-26d7a15f24cd,4,10:15:00,11:00:00,period,Period 4,tuesday,1,2025-06-03 15:54:37.277616+00,2025-06-03 15:54:37.277616+00
822044d0-e749-4c41-aa51-d8a77de32025,560e5aa7-4633-418d-a3a4-26d7a15f24cd,5,11:00:00,11:45:00,period,Period 5,monday,,2025-06-03 15:54:37.277616+00,2025-06-03 15:54:37.277616+00
8af4d68e-330d-41e1-b8ec-fb81fb57348a,560e5aa7-4633-418d-a3a4-26d7a15f24cd,3,09:30:00,10:15:00,period,Period 3,monday,,2025-06-03 15:54:37.277616+00,2025-06-03 15:54:37.277616+00
8fa8005f-f387-4579-bd44-1f726a92d1f1,560e5aa7-4633-418d-a3a4-26d7a15f24cd,4,10:15:00,11:00:00,period,Period 4,saturday,2,2025-06-03 15:54:37.277616+00,2025-06-03 15:54:37.277616+00
907ad18b-a350-4f3d-9c99-d005ca5226af,560e5aa7-4633-418d-a3a4-26d7a15f24cd,2,08:45:00,09:30:00,period,Period 2,monday,1,2025-06-03 15:54:37.277616+00,2025-06-03 15:54:37.277616+00
9511f549-4d0b-4331-956f-2a3efa5c3414,560e5aa7-4633-418d-a3a4-26d7a15f24cd,3,09:30:00,10:15:00,period,Period 3,friday,,2025-06-03 15:54:37.277616+00,2025-06-03 15:54:37.277616+00
952aec82-2e2c-4343-87aa-d22517b90a35,560e5aa7-4633-418d-a3a4-26d7a15f24cd,4,10:15:00,11:00:00,period,Period 4,monday,1,2025-06-03 15:54:37.277616+00,2025-06-03 15:54:37.277616+00
a4c28ccc-8c16-4828-aa53-445c843cd1f0,560e5aa7-4633-418d-a3a4-26d7a15f24cd,1,08:00:00,08:45:00,period,Period 1,tuesday,1,2025-06-03 15:54:37.277616+00,2025-06-03 15:54:37.277616+00
ab338dbd-5a2c-4e39-bfc8-e7d208e24e20,560e5aa7-4633-418d-a3a4-26d7a15f24cd,6,11:45:00,12:30:00,period,Period 6,monday,,2025-06-03 15:54:37.277616+00,2025-06-03 15:54:37.277616+00
ac734fe3-a146-431f-aad4-d158b0bb3b86,560e5aa7-4633-418d-a3a4-26d7a15f24cd,1,08:00:00,08:45:00,period,Period 1,tuesday,,2025-06-03 15:54:37.277616+00,2025-06-03 15:54:37.277616+00
b3923598-eb1b-45a1-8479-47e13589c015,560e5aa7-4633-418d-a3a4-26d7a15f24cd,4,10:15:00,11:00:00,period,Period 4,thursday,,2025-06-03 15:54:37.277616+00,2025-06-03 15:54:37.277616+00
b5a06cad-20c5-4943-ac93-49153883dcbd,560e5aa7-4633-418d-a3a4-26d7a15f24cd,5,11:00:00,11:45:00,period,Period 5,monday,1,2025-06-03 15:54:37.277616+00,2025-06-03 15:54:37.277616+00
b71fe99a-ebc9-484b-977f-35b5c10c1e18,560e5aa7-4633-418d-a3a4-26d7a15f24cd,1,08:00:00,08:45:00,period,Period 1,saturday,2,2025-06-03 15:54:37.277616+00,2025-06-03 15:54:37.277616+00
b9261c5d-4e4c-4d7e-a31d-9427df2d5024,560e5aa7-4633-418d-a3a4-26d7a15f24cd,6,11:45:00,12:30:00,period,Period 6,wednesday,,2025-06-03 15:54:37.277616+00,2025-06-03 15:54:37.277616+00
bb63e61e-eea9-4ffc-a090-5a4b8b36d775,560e5aa7-4633-418d-a3a4-26d7a15f24cd,3,09:30:00,10:15:00,period,Period 3,tuesday,1,2025-06-03 15:54:37.277616+00,2025-06-03 15:54:37.277616+00
be561330-23bb-4ee3-a3c2-7d2e53c3290d,560e5aa7-4633-418d-a3a4-26d7a15f24cd,4,10:15:00,11:00:00,period,Period 4,tuesday,,2025-06-03 15:54:37.277616+00,2025-06-03 15:54:37.277616+00
c2c86f01-3c16-4369-af19-575931f41a80,560e5aa7-4633-418d-a3a4-26d7a15f24cd,3,09:30:00,10:15:00,period,Period 3,sunday,2,2025-06-03 15:54:37.277616+00,2025-06-03 15:54:37.277616+00
c2ea1326-ef4e-472a-96cc-5d35bd4cb7d2,560e5aa7-4633-418d-a3a4-26d7a15f24cd,3,09:30:00,10:15:00,period,Period 3,wednesday,,2025-06-03 15:54:37.277616+00,2025-06-03 15:54:37.277616+00
c6942a72-bd7b-4eec-b4d3-22fb3087b2e8,560e5aa7-4633-418d-a3a4-26d7a15f24cd,4,10:15:00,11:00:00,period,Period 4,friday,,2025-06-03 15:54:37.277616+00,2025-06-03 15:54:37.277616+00
ca3adcf8-333e-432e-877d-3e64e2a2f584,560e5aa7-4633-418d-a3a4-26d7a15f24cd,2,08:45:00,09:30:00,period,Period 2,sunday,2,2025-06-03 15:54:37.277616+00,2025-06-03 15:54:37.277616+00
cb0b4f86-b85f-4ac4-8d62-6dde1a79e2a9,560e5aa7-4633-418d-a3a4-26d7a15f24cd,2,08:45:00,09:30:00,period,Period 2,friday,,2025-06-03 15:54:37.277616+00,2025-06-03 15:54:37.277616+00
d0d562a9-84ca-4fef-bc49-40d28ad0cc8a,560e5aa7-4633-418d-a3a4-26d7a15f24cd,5,11:00:00,11:45:00,period,Period 5,sunday,2,2025-06-03 15:54:37.277616+00,2025-06-03 15:54:37.277616+00
d457213c-4cbe-4c90-883c-8a4ff0f7e165,560e5aa7-4633-418d-a3a4-26d7a15f24cd,5,11:00:00,11:45:00,period,Period 5,tuesday,,2025-06-03 15:54:37.277616+00,2025-06-03 15:54:37.277616+00
d64c1935-734f-411b-bbee-df132f5e567e,560e5aa7-4633-418d-a3a4-26d7a15f24cd,4,10:15:00,11:00:00,period,Period 4,monday,,2025-06-03 15:54:37.277616+00,2025-06-03 15:54:37.277616+00
d65ade43-853f-4567-b2b0-8f6201292097,560e5aa7-4633-418d-a3a4-26d7a15f24cd,2,08:45:00,09:30:00,period,Period 2,saturday,2,2025-06-03 15:54:37.277616+00,2025-06-03 15:54:37.277616+00
d6ce406d-3776-45d9-b8ce-afad7cc5386f,560e5aa7-4633-418d-a3a4-26d7a15f24cd,3,09:30:00,10:15:00,period,Period 3,thursday,,2025-06-03 15:54:37.277616+00,2025-06-03 15:54:37.277616+00
e354d7fa-653f-4b07-86c8-0992a338b0a5,560e5aa7-4633-418d-a3a4-26d7a15f24cd,1,08:00:00,08:45:00,period,Period 1,wednesday,,2025-06-03 15:54:37.277616+00,2025-06-03 15:54:37.277616+00
ed90729b-baf5-420c-badc-aa5ae8737e14,560e5aa7-4633-418d-a3a4-26d7a15f24cd,2,08:45:00,09:30:00,period,Period 2,tuesday,,2025-06-03 15:54:37.277616+00,2025-06-03 15:54:37.277616+00
ef045431-5a65-4399-8995-31dcbdf30df4,560e5aa7-4633-418d-a3a4-26d7a15f24cd,6,11:45:00,12:30:00,period,Period 6,thursday,,2025-06-03 15:54:37.277616+00,2025-06-03 15:54:37.277616+00
ef6304e2-61de-468c-a176-57062b4cd09e,560e5aa7-4633-418d-a3a4-26d7a15f24cd,4,10:15:00,11:00:00,period,Period 4,sunday,2,2025-06-03 15:54:37.277616+00,2025-06-03 15:54:37.277616+00
